BikeLaneID,Constructed,lat,lon,Type,Upgraded
1,2015,43.72604382663965,-79.12237814558205,On-Road Lanes,NA
2,2020,43.71042677275604,-79.4808430819586,Protected Lanes,2021
3,2023,43.585140299643385,-79.29600627813954,Protected Lanes,2024
4,2015,43.611639257827775,-79.45933724206873,Shared Roadways,2022
5,2015,43.84347341368208,-79.25700705382508,Shared Roadways,NA
6,2018,43.69301299594343,-79.48820295476355,Protected Lanes,2022
7,2017,43.60753496110206,-79.15289057919756,Protected Lanes,NA
8,2016,43.649831237606705,-79.20774469257333,On-Road Lanes,NA
9,2021,43.63708354661707,-79.24274418619927,On-Road Lanes,2022
10,2022,43.82648673787713,-79.41240498505533,On-Road Lanes,NA
11,2018,43.74909982164158,-79.53540069156327,Shared Roadways,NA
12,2020,43.826341083555015,-79.14231451997068,On-Road Lanes,NA
13,2023,43.652101034123916,-79.2002408119198,Protected Lanes,NA
14,2021,43.74081417595269,-79.53870235139505,Protected Lanes,NA
15,2016,43.816656725313514,-79.38824600959663,Shared Roadways,NA
16,2017,43.63259386794176,-79.42746133695357,Protected Lanes,NA
17,2023,43.80763626906089,-79.25556917547249,Shared Roadways,NA
18,2015,43.82663416239433,-79.15090602112934,Protected Lanes,NA
19,2016,43.72362198822433,-79.51939192123712,On-Road Lanes,2018
20,2022,43.75764624493429,-79.14008278365247,Protected Lanes,NA
21,2015,43.74760332270525,-79.31798024487682,Shared Roadways,2019
22,2023,43.669230595519764,-79.29305505648256,Protected Lanes,2024
23,2022,43.69103317553643,-79.60455763328821,Protected Lanes,NA
24,2015,43.83727131652646,-79.13157050824259,Protected Lanes,NA
25,2015,43.67766928227152,-79.26678839209956,Shared Roadways,NA
26,2021,43.63299824238289,-79.5610988992313,Protected Lanes,NA
27,2023,43.732145985378885,-79.45870046935045,Shared Roadways,2024
28,2021,43.74682512780884,-79.25506892102305,On-Road Lanes,2022
29,2017,43.842153967069464,-79.3321366559295,Shared Roadways,NA
30,2019,43.60746058820281,-79.14872384607327,On-Road Lanes,NA
31,2021,43.622072471391874,-79.2891174064763,Protected Lanes,NA
32,2023,43.68609504211694,-79.50728990289383,Protected Lanes,2024
33,2018,43.65425280636176,-79.26188063808252,Shared Roadways,NA
34,2022,43.6397335560061,-79.41175395157654,Protected Lanes,NA
35,2017,43.67621190270409,-79.45995883120224,Protected Lanes,NA
36,2019,43.67533448321512,-79.55574483250268,Protected Lanes,NA
37,2017,43.746034890757876,-79.43566260778346,On-Road Lanes,NA
38,2017,43.74687831261894,-79.27303019504063,On-Road Lanes,2019
39,2021,43.800482416355514,-79.13964491198305,Shared Roadways,NA
40,2022,43.82007248159265,-79.14029437513557,On-Road Lanes,NA
41,2018,43.61513912512222,-79.49948151340243,Protected Lanes,NA
42,2022,43.61913911021547,-79.60081127286423,Protected Lanes,NA
43,2016,43.70087960403645,-79.4826594938105,Shared Roadways,NA
44,2016,43.803539334621746,-79.20861536334735,Shared Roadways,NA
45,2023,43.70919075910468,-79.13201298180968,On-Road Lanes,2024
46,2020,43.68775374961319,-79.32777584600728,Protected Lanes,2021
47,2021,43.82862474881113,-79.13804191619158,On-Road Lanes,NA
48,2017,43.83670841894345,-79.3648700699024,On-Road Lanes,NA
49,2017,43.73346584815299,-79.24889409053606,Shared Roadways,NA
50,2022,43.66673333160579,-79.36339161557146,Protected Lanes,NA
51,2017,43.68428720377851,-79.46077637596056,Shared Roadways,NA
52,2017,43.74254678832367,-79.26443580328953,Shared Roadways,NA
53,2020,43.76276425900404,-79.30325988552534,Shared Roadways,NA
54,2016,43.79905806988943,-79.1891238604486,Protected Lanes,NA
55,2023,43.830633729062974,-79.58025505231228,Protected Lanes,NA
56,2020,43.69290438659489,-79.1861549527431,Protected Lanes,NA
57,2023,43.60771088683512,-79.403808477805,On-Road Lanes,NA
58,2020,43.71206392943626,-79.58001339994837,Protected Lanes,NA
59,2017,43.74299768440193,-79.58822133194656,Shared Roadways,NA
60,2023,43.60548110657139,-79.17448256630917,On-Road Lanes,NA
61,2023,43.6655570994271,-79.44535160554108,Protected Lanes,NA
62,2018,43.70117823680863,-79.41305127868429,On-Road Lanes,NA
63,2021,43.59192060818197,-79.44556950626895,On-Road Lanes,NA
64,2023,43.76073433445068,-79.33644768514671,Protected Lanes,NA
65,2020,43.67412244920386,-79.2075575694954,Shared Roadways,NA
66,2020,43.8005731845717,-79.3285899253143,On-Road Lanes,NA
67,2020,43.61323837690754,-79.29097399337218,Protected Lanes,NA
68,2023,43.7490022027283,-79.41254422138911,Protected Lanes,NA
69,2019,43.583322949500285,-79.4590363099752,Shared Roadways,NA
70,2023,43.76814979456831,-79.58946368354839,On-Road Lanes,NA
71,2022,43.70956698172959,-79.39091329765972,Shared Roadways,NA
72,2015,43.62285516020376,-79.14729945094325,On-Road Lanes,NA
73,2023,43.62794225598918,-79.47209192160983,Protected Lanes,NA
74,2023,43.668794448028784,-79.24311379762833,Protected Lanes,NA
75,2017,43.604296414433044,-79.56027938041836,Shared Roadways,2018
76,2023,43.76911039556144,-79.20984947146383,Shared Roadways,NA
